Study_ID,Ref_Key,Authors,Title,Year,QA_Technical_Rigor,QA_AGI_Relevance,QA_Innovation_Significance,QA_CPST_Relevance,QA_Societal_Impact,QA_Overall_Mean,Bibliographic_Notes
S119,ref119,"X. Liu, Y. Li, F. Tang, and M. Zhao",LSA: A learned structure-aware pruning point cloud classification approach for cyber physical social intelligence,2025,2.5,2.2,1.9,2.6,1.7,2.2,Journal article. DOI approximate.
S120,ref120,A. L. Gibson and D. Sokolov,A modular cognitive architecture for collective intelligence systems,2026,2.7,2.3,2.1,2.5,2.7,2.5,AGI 2026 conference. Forthcoming. No DOI assigned.
S121,ref121,"X. Wang, Y. Zhou, B. Luo, Y. Jiang, and T. Huang",Event-triggered adaptive finite-time control for switched cyberphysical systems with uncertain deception attacks,2023,3.0,1.5,2.6,2.7,1.8,2.3,Journal article. DOI approximate.
S122,ref122,"Y. Naudet, H. Panetto, and B. A. Yilma",Towards cognitive interoperability in cyber-physical enterprises,2023,2.8,2.3,2.8,2.2,2.1,2.4,Journal article. DOI approximate.
S123,ref123,A. Shalaby,Digital sustainable growth model (DSGM): Achieving synergy between economy and technology to mitigate AGI risks and address global debt challenges,2025,2.4,1.2,3.0,1.8,2.1,2.1,Journal article. DOI approximate.
S124,ref124,"D. Namakshenas, A. Yazdinejad, A. Dehghantanha, R. M. Parizi, and G. Srivastava",IP2FL: Interpretation-based privacy-preserving federated learning for industrial cyber-physical systems,2024,3.0,1.7,1.9,1.7,0.8,1.8,Journal article. DOI verified.
S125,ref125,"S. Guarino, F. Vitale, F. Flammini, L. Faramondi, N. Mazzocca, and R. Setola",A two-level fusion framework for cyber-physical anomaly detection,2024,2.2,2.9,2.6,2.9,2.1,2.5,Journal article. DOI verified.
S126,ref126,"K. Gong, J. Yang, X. Wang, C. Jiang, Z. Xiong, M. Zhang, M. Guo, R. Lv, S. Wang, and S. Zhang","Comprehensive review of modeling, structure, and integration techniques of smart buildings in the cyber-physical-social system",2022,2.5,2.9,3.0,2.6,1.6,2.5,Journal article. DOI approximate.
S127,ref127,"L. Chen, X. Zhang, and F. Xiao",A stability condition for asynchronous and aperiodic sampled-data cyber-physical systems under DoS attacks,2025,2.2,2.7,1.9,1.2,1.8,2.0,Journal article. DOI approximate.
S128,ref128,"Q. Wang, H. Ji, Z. Wu, P. Ni, and L. Liu",Ground station software design based on human machine hybrid intelligence: A command and control application of human in the loop,2024,2.9,2.0,3.0,3.0,3.0,2.8,RICAI 2024 conference. DOI approximate.
S129,ref129,"W. Qi, C.-H. Chen, T. Niu, S. Lyu, and S. Sun",A multisensory interaction framework for human-cyber-physical system based on graph convolutional networks,2024,3.0,2.5,3.0,3.0,1.3,2.6,Journal article. DOI verified.
S130,ref130,"R. Liu, Q. Zhang, T. Han, B. Yang, W. Zhang, S. Yin, and D. Zhou",Survey on foundation models for prognostics and health management in industrial cyber-physical systems,2024,2.7,2.5,3.0,1.9,2.6,2.5,Journal article. DOI verified.
S131,ref131,G. A. Al and U. Martinez-Hernandez,DigiTac unit for multimodal communication in human-robot interaction,2024,2.7,1.9,2.5,2.5,1.9,2.3,Journal article. DOI approximate.
S132,ref132,"Z. U. I. Nasir, A. Iqbal, and H. K. Qureshi",Securing cyber-physical systems: A decentralized framework for collaborative intrusion detection with privacy preservation,2024,2.2,3.0,2.5,2.0,1.9,2.3,Journal article. DOI verified.
S133,ref133,"H. Ning, W. Wang, F. Farha, J. Xie, and M. Daneshmand",SocialNet of things: A ubiquitous relationship network inspired by social space,2022,2.4,3.0,2.9,2.7,2.6,2.7,Journal article. DOI approximate.
S134,ref134,"J. Chae, S. Lee, J. Jang, S. Hong, and K.-J. Park",A survey and perspective on industrial cyber-physical systems (ICPS): From ICPS to AI-augmented ICPS,2023,2.1,2.4,2.8,1.6,2.3,2.2,Journal article. DOI approximate.
S135,ref135,"R. Muzaffar, M. Ahmed, E. Sisinni, T. Sauter, and H.-P. Bernhard",5G deployment models and configuration choices for industrial cyber-physical systems—A state of art overview,2023,1.6,2.5,3.0,2.3,2.5,2.4,Journal article. DOI approximate.
S136,ref136,"M. Qu, P. Guo, Z. Fang, R. Liu, and Q. Li",System architecture change in the context of double-directional human-AI cognition: Rethinking and case studies,2025,2.5,2.6,2.8,2.9,2.7,2.7,Journal article. DOI approximate.
S137,ref137,"F. Shi, H. Ning, and S. Dhelim",A tutorial of cyber-syndrome viewed from cyber-physical-social-thinking space and Maslow's hierarchy of needs,2021,2.6,1.4,2.3,3.0,1.9,2.2,arXiv preprint. arXiv:2111.02775
S138,ref138,"A. S. Varghese, S. G, and A. Nambiar",On developing explainable AI evaluation metrics for image classification using Borda count and multiple correlation techniques,2025,3.0,2.4,3.0,2.6,1.7,2.5,Journal article. DOI approximate.
S139,ref139,"B. S. Guendouzi, S. Ouchani, H. Al Assaad, and M. El Zaher",Ensuring the federation correctness: Formal verification of federated learning in industrial cyber-physical systems,2025,3.0,2.1,1.8,2.1,1.4,2.1,Journal article. DOI verified.
